ds,total
01/01/2020,21525
02/01/2020,48665
03/01/2020,49014
04/01/2020,38294
05/01/2020,39921
06/01/2020,65741
07/01/2020,59871
08/01/2020,60634
09/01/2020,71075
10/01/2020,62878
11/01/2020,49516
12/01/2020,63269
13/01/2020,85158
14/01/2020,85622
15/01/2020,91602
16/01/2020,84148
17/01/2020,75218
18/01/2020,63751
19/01/2020,64935
20/01/2020,92201
21/01/2020,88624
22/01/2020,86336
23/01/2020,83137
24/01/2020,68059
25/01/2020,53077
26/01/2020,57358
27/01/2020,89722
28/01/2020,80900
29/01/2020,73096
30/01/2020,75575
31/01/2020,64959
01/02/2020,53868
02/02/2020,63590
03/02/2020,89933
04/02/2020,77261
05/02/2020,77538
06/02/2020,72574
07/02/2020,65215
08/02/2020,54838
09/02/2020,79368
10/02/2020,113677
11/02/2020,95195
12/02/2020,82835
13/02/2020,84916
14/02/2020,71646
15/02/2020,66619
16/02/2020,97190
17/02/2020,121055
18/02/2020,103036
19/02/2020,157562
20/02/2020,151276
21/02/2020,134032
22/02/2020,105501
23/02/2020,105515
24/02/2020,169028
25/02/2020,157219
26/02/2020,121772
27/02/2020,135150
28/02/2020,108261
29/02/2020,102276
01/03/2020,107711
02/03/2020,164818
03/03/2020,137392
04/03/2020,122538
05/03/2020,112656
06/03/2020,103370
07/03/2020,88537
08/03/2020,93301
09/03/2020,138696
10/03/2020,125929
11/03/2020,115134
12/03/2020,94774
13/03/2020,85455
14/03/2020,72354
15/03/2020,67529
16/03/2020,93756
17/03/2020,76764
18/03/2020,68277
19/03/2020,58894
20/03/2020,51978
21/03/2020,49955
22/03/2020,43842
23/03/2020,60490
24/03/2020,37124
25/03/2020,34533
26/03/2020,39163
27/03/2020,43321
28/03/2020,28019
29/03/2020,27931
30/03/2020,39751
31/03/2020,36983
01/04/2020,35749
02/04/2020,34742
03/04/2020,34547
04/04/2020,31502
05/04/2020,28578
06/04/2020,43637
07/04/2020,38132
08/04/2020,40469
09/04/2020,35273
10/04/2020,30737
11/04/2020,31042
12/04/2020,28958
13/04/2020,41461
14/04/2020,49915
15/04/2020,47687
16/04/2020,45302
17/04/2020,44449
18/04/2020,39469
19/04/2020,35671
20/04/2020,54729
21/04/2020,52075
22/04/2020,49152
23/04/2020,47902
24/04/2020,46403
25/04/2020,41533
26/04/2020,43522
27/04/2020,64164
28/04/2020,65722
29/04/2020,60789
30/04/2020,58551
01/05/2020,54947
02/05/2020,47764
03/05/2020,50022
04/05/2020,74128
05/05/2020,72224
06/05/2020,65768
07/05/2020,60495
08/05/2020,47732
09/05/2020,51910
10/05/2020,59927
11/05/2020,93974
12/05/2020,84938
13/05/2020,90649
14/05/2020,86427
15/05/2020,87549
16/05/2020,76796
17/05/2020,78787
18/05/2020,116153
19/05/2020,109130
20/05/2020,101524
21/05/2020,101001
22/05/2020,103041
23/05/2020,90835
24/05/2020,78435
25/05/2020,80367
26/05/2020,129674
27/05/2020,115996
28/05/2020,103968
